,Assembly_Name,Body_Name,Material Label
0,19051_26735260,64f28c24-0556-11ec-9c4d-0ae0e5d97f29,Plastic
0,19051_26735260,64f30176-0556-11ec-85c0-0ae0e5d97f29,Metal_Ferrous_Steel
0,19051_26735260,64f8f4c2-0556-11ec-bb9c-0ae0e5d97f29,Wood
0,19051_26735260,64f942f4-0556-11ec-86c6-0ae0e5d97f29,Metal_Ferrous
0,19051_26735260,64f96a34-0556-11ec-b488-0ae0e5d97f29,Other
0,19051_26735260,64f9b842-0556-11ec-8ab1-0ae0e5d97f29,Metal_Non-Ferrous
0,19051_26735260,64fa2d4a-0556-11ec-9926-0ae0e5d97f29,Metal_Ferrous_Steel
0,19051_26735260,64fd88b8-0556-11ec-b53b-0ae0e5d97f29,Wood
0,19051_26735260,64fdd6f6-0556-11ec-9bbe-0ae0e5d97f29,Plastic
0,19051_26735260,64fe4c14-0556-11ec-a1a4-0ae0e5d97f29,Metal_Ferrous
0,19051_26735260,64fe7302-0556-11ec-934b-0ae0e5d97f29,Metal_Aluminum
0,19051_26735260,64fee85a-0556-11ec-945f-0ae0e5d97f29,Paint
0,19051_26735260,64ff0f46-0556-11ec-89c8-0ae0e5d97f29,Metal_Ferrous
0,19518_f220b68a,dc0d28d8-05fa-11ec-ae8b-02ef91e90f5f,Metal_Ferrous_Steel
0,19518_f220b68a,dc0e398c-05fa-11ec-8c4a-02ef91e90f5f,Wood
0,19518_f220b68a,dc0efcde-05fa-11ec-8771-02ef91e90f5f,Metal_Non-Ferrous
0,19518_f220b68a,dc0f7212-05fa-11ec-ae90-02ef91e90f5f,Metal_Ferrous_Steel
0,19518_f220b68a,dc0fe740-05fa-11ec-8a17-02ef91e90f5f,Metal_Ferrous
0,19518_f220b68a,dc10aa8c-05fa-11ec-860a-02ef91e90f5f,Plastic
0,19518_f220b68a,dc1369ac-05fa-11ec-a4c0-02ef91e90f5f,Wood
0,19518_f220b68a,dc164fdc-05fa-11ec-9778-02ef91e90f5f,Other
